order_index,is_canonical,subject_order,bwt,forgetting,final_avg_acc,elapsed_seconds,run_dir
0,True,01-02-03,-0.05096801346801347,0.06022727272727274,0.3015712682379349,203.17352867126465,results\mudvi_gp\subjorder_00_seed0_mem200_subj01-02-03
1,False,03-02-01,0.0011574074074073987,0.024305555555555552,0.325645342312009,198.12659978866577,results\mudvi_gp\subjorder_01_seed0_mem200_subj03-02-01
2,False,03-01-02,-0.010269360269360234,0.010269360269360234,0.32195566778900114,196.0483078956604,results\mudvi_gp\subjorder_02_seed0_mem200_subj03-01-02
3,False,01-03-02,-0.02487373737373738,0.03181818181818183,0.31973905723905727,191.89704370498657,results\mudvi_gp\subjorder_03_seed0_mem200_subj01-03-02
4,False,02-01-03,-0.07319023569023568,0.07319023569023568,0.2853395061728395,192.0159251689911,results\mudvi_gp\subjorder_04_seed0_mem200_subj02-01-03
5,False,02-03-01,0.009259259259259259,0.0011574074074073987,0.2913439955106622,192.41603231430054,results\mudvi_gp\subjorder_05_seed0_mem200_subj02-03-01
