Method,"Acc(01,01)","Acc(02,02)","Acc(03,03)","Acc(N,01)","Acc(N,02)","Acc(N,03)",FinalAvgAcc,BWT,Forgetting,MemClass0,MemClass1,MemClass2,MemClass3
MUDVI,0.39090909090909093,0.19675925925925927,0.41435185185185186,0.32045454545454544,0.2013888888888889,0.41435185185185186,0.31206509539842875,-0.032912457912457935,0.035227272727272746,50,50,50,50
MUDVI+GP,0.39090909090909093,0.17824074074074073,0.4375,0.27045454545454545,0.19675925925925927,0.4375,0.3015712682379349,-0.05096801346801347,0.06022727272727274,50,50,50,50
MUDVI+RSD,0.39090909090909093,0.19675925925925927,0.41435185185185186,0.32045454545454544,0.2013888888888889,0.41435185185185186,0.31206509539842875,-0.032912457912457935,0.035227272727272746,50,50,50,50
MUDVI+GP+RSD,0.39090909090909093,0.17824074074074073,0.4375,0.27045454545454545,0.19675925925925927,0.4375,0.3015712682379349,-0.05096801346801347,0.06022727272727274,50,50,50,50
ER,0.39090909090909093,0.2361111111111111,0.37962962962962965,0.3409090909090909,0.21296296296296297,0.37962962962962965,0.3111672278338945,-0.03657407407407409,0.03657407407407409,51,51,52,46
MIR,0.39090909090909093,0.24074074074074073,0.3449074074074074,0.23636363636363636,0.2708333333333333,0.3449074074074074,0.2840347923681257,-0.06222643097643099,0.07727272727272728,51,51,52,46
