order_index,is_canonical,subject_order,bwt,forgetting,final_avg_acc,elapsed_seconds,run_dir
0,True,01-02-03,-0.032912457912457935,0.035227272727272746,0.31206509539842875,147.93889665603638,results\baseline\subjorder_00_seed0_mem200_subj01-02-03
1,False,03-02-01,0.03472222222222225,0.0023148148148147973,0.3508978675645342,147.81932878494263,results\baseline\subjorder_01_seed0_mem200_subj03-02-01
2,False,03-01-02,-0.009638047138047112,0.042045454545454525,0.3451739618406285,148.10046219825745,results\baseline\subjorder_02_seed0_mem200_subj03-01-02
3,False,01-03-02,-0.01914983164983164,0.02840909090909091,0.3135241301907969,146.31770777702332,results\baseline\subjorder_03_seed0_mem200_subj01-03-02
4,False,02-01-03,-0.03773148148148149,0.03773148148148149,0.29443041526374863,144.68546843528748,results\baseline\subjorder_04_seed0_mem200_subj02-01-03
5,False,02-03-01,1.3877787807814457e-17,0.00347222222222221,0.3102833894500561,144.53445672988892,results\baseline\subjorder_05_seed0_mem200_subj02-03-01
